"Year","Gross","Net","Conventional.Accounting","Economic.Sector","Sector","Category","Sub.Category.1","Sub.Category.2","Sub.Category.3","Gas","MT.CO2e.AR5.20.yr","MT.CO2e.AR4.100.yr","Average_Fahrenheit_Temperature"
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Distillate Fuel","CO2",4090,4090,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Distillate Fuel","CH4",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Distillate Fuel","N2O",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Kerosene","CO2",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Kerosene","CH4",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Kerosene","N2O",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","LPG","CO2",50814,50814,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","LPG","CH4",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","LPG","N2O",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Lubricants","CO2",429166,429166,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Lubricants","CH4",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Lubricants","N2O",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Lubricants (Transportation)","CO2",444503,444503,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Lubricants (Transportation)","CH4",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Lubricants (Transportation)","N2O",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Miscellaneous Petroleum Products","CO2",232141,232141,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Miscellaneous Petroleum Products","CH4",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Miscellaneous Petroleum Products","N2O",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Natural Gas","CO2",87993,87993,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Natural Gas","CH4",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Natural Gas","N2O",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Petroleum Coke","CO2",39557,39557,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Petroleum Coke","CH4",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Petroleum Coke","N2O",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Residual Fuel","CO2",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Residual Fuel","CH4",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Residual Fuel","N2O",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Special Naphthas","CO2",84927,84927,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Special Naphthas","CH4",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Special Naphthas","N2O",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Waxes","CO2",32977,32977,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Waxes","CH4",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Waxes","N2O",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Wood","CH4",0,0,53.4
1990,"Yes","Yes","Yes","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Wood","N2O",0,0,53.4
1990,"Yes","No","No","Industry","Energy","Other Fossil Fuel Use","Industrial","Not Applicable","Wood","Biogenic CO2",0,0,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Road","Gasoline","CO2",48992451,48992451,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Road","Gasoline","CH4",1627609,542536,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Road","Gasoline","N2O",613883,616209,53.4
1990,"Yes","No","No","Transportation","Energy","Fuel Combustion","Transportation","Road","Gasoline","Biogenic CO2",0,0,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Road","Diesel","CO2",8927343,8927343,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Road","Diesel","CH4",0,0,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Road","Diesel","N2O",2683,2693,53.4
1990,"Yes","No","No","Transportation","Energy","Fuel Combustion","Transportation","Road","Diesel","Biogenic CO2",0,0,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Road","CNG","CO2",105,105,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Road","CNG","CH4",6,2,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Road","CNG","N2O",0,0,53.4
1990,"Yes","No","No","Transportation","Energy","Fuel Combustion","Transportation","Road","CNG","Biogenic CO2",0,0,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Nonroad - Aviation","Aviation Gasoline","CO2",56925,56925,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Nonroad - Aviation","Aviation Gasoline","CH4",4377,1459,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Nonroad - Aviation","Aviation Gasoline","N2O",206,207,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Nonroad - Aviation","Jet Fuel","CO2",5778489,5778489,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Nonroad - Aviation","Jet Fuel","CH4",0,0,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Nonroad - Aviation","Jet Fuel","N2O",56567,56781,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Nonroad - Railroad","Distillate Fuel","CO2",121775,121775,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Nonroad - Railroad","Distillate Fuel","CH4",796,265,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Nonroad - Railroad","Distillate Fuel","N2O",800,803,53.4
1990,"Yes","No","No","Transportation","Energy","Fuel Combustion","Transportation","Nonroad - Railroad","Distillate Fuel","Biogenic CO2",0,0,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Military","Distillate Fuel","CO2",113072,113072,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Military","Distillate Fuel","CH4",5935,1978,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Military","Distillate Fuel","N2O",502,503,53.4
1990,"Yes","No","No","Transportation","Energy","Fuel Combustion","Transportation","Military","Distillate Fuel","Biogenic CO2",0,0,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Military","Residual Fuel","CO2",119017,119017,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Military","Residual Fuel","CH4",986,329,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Military","Residual Fuel","N2O",899,903,53.4
1990,"Yes","No","No","Transportation","Energy","Fuel Combustion","Transportation","Military","Residual Fuel","Biogenic CO2",0,0,53.4
1990,"No","No","No","Excluded","Energy","Fuel Combustion","Transportation","Bunker (Vessel)","Distillate Fuel","CO2",99426,99426,53.4
1990,"No","No","No","Excluded","Energy","Fuel Combustion","Transportation","Bunker (Vessel)","Distillate Fuel","CH4",5218,1739,53.4
1990,"No","No","No","Excluded","Energy","Fuel Combustion","Transportation","Bunker (Vessel)","Distillate Fuel","N2O",441,443,53.4
1990,"No","No","No","Excluded","Energy","Fuel Combustion","Transportation","Bunker (Vessel)","Distillate Fuel","Biogenic CO2",0,0,53.4
1990,"No","No","No","Excluded","Energy","Fuel Combustion","Transportation","Bunker (Vessel)","Residual Fuel","CO2",488029,488029,53.4
1990,"No","No","No","Excluded","Energy","Fuel Combustion","Transportation","Bunker (Vessel)","Residual Fuel","CH4",4042,1347,53.4
1990,"No","No","No","Excluded","Energy","Fuel Combustion","Transportation","Bunker (Vessel)","Residual Fuel","N2O",3688,3702,53.4
1990,"No","No","No","Excluded","Energy","Fuel Combustion","Transportation","Bunker (Aircraft)","Jet Fuel","CO2",11466588,11466588,53.4
1990,"No","No","No","Excluded","Energy","Fuel Combustion","Transportation","Bunker (Aircraft)","Jet Fuel","CH4",0,0,53.4
1990,"No","No","No","Excluded","Energy","Fuel Combustion","Transportation","Bunker (Aircraft)","Jet Fuel","N2O",112248,112674,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Nonroad - Other","Diesel","CO2",470643,470643,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Nonroad - Other","Diesel","CH4",3900,1300,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Nonroad - Other","Diesel","N2O",11405,11448,53.4
1990,"Yes","No","No","Transportation","Energy","Fuel Combustion","Transportation","Nonroad - Other","Diesel","Biogenic CO2",0,0,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Nonroad - Industrial/Commercial","Gasoline","CO2",123035,123035,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Nonroad - Industrial/Commercial","Gasoline","CH4",2480,827,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Nonroad - Industrial/Commercial","Gasoline","N2O",4359,4375,53.4
1990,"Yes","No","No","Transportation","Energy","Fuel Combustion","Transportation","Nonroad - Industrial/Commercial","Gasoline","Biogenic CO2",0,0,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Nonroad - Construction","Gasoline","CO2",191264,191264,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Nonroad - Construction","Gasoline","CH4",4002,1334,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Nonroad - Construction","Gasoline","N2O",6505,6529,53.4
1990,"Yes","No","No","Transportation","Energy","Fuel Combustion","Transportation","Nonroad - Construction","Gasoline","Biogenic CO2",0,0,53.4
1990,"Yes","Yes","Yes","Transportation","Energy","Fuel Combustion","Transportation","Nonroad - Agricultural","Gasoline","CO2",123133,123133,53.4
